web-scraper-order,web-scraper-start-url,year,year-href,month,month-href,Day,Temp,TMax,Tmin,SLP,Humidity,PPresure,VVisiblity,VavgWindSpeed,VMWindSpeed,VGspeed,RAin,SNow,TStrom,FoG
1576011772-3712,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,September,https://en.tutiempo.net/climate/09-2010/ws-419230.html,30,28.8,33,26.4,1007.9,79,5.33,5,0,-,-,,,,
1576011772-3713,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,September,https://en.tutiempo.net/climate/09-2010/ws-419230.html,Monthly means and totals:,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1576011772-3714,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,September,https://en.tutiempo.net/climate/09-2010/ws-419230.html,,28.7,32.4,26.8,1005.2,79.8,167.89,5.2,1.9,5.8,,11,0,3,0
1576011760-3650,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,October,https://en.tutiempo.net/climate/10-2010/ws-419230.html,1,29.3,33.8,26.4,1007.7,75,0,5.5,0,-,-,,,,
1576011760-3651,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,October,https://en.tutiempo.net/climate/10-2010/ws-419230.html,2,29.8,34.3,27,1007,76,0,5.3,0,-,-,,,,
1576011760-3652,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,October,https://en.tutiempo.net/climate/10-2010/ws-419230.html,3,30.7,35.3,26.8,1006.4,72,0,5.3,0.9,3.5,-,,,,
1576011760-3653,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,October,https://en.tutiempo.net/climate/10-2010/ws-419230.html,4,,,,,,,,,,,,,,
1576011760-3654,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,October,https://en.tutiempo.net/climate/10-2010/ws-419230.html,5,,,,,,,,,,,,,,
1576011760-3655,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,October,https://en.tutiempo.net/climate/10-2010/ws-419230.html,6,,,,,,,,,,,o,,,
1576011760-3656,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,October,https://en.tutiempo.net/climate/10-2010/ws-419230.html,7,24.6,25.2,24,1004.7,95,43.43,3.7,7.8,11.1,-,o,,,
1576011760-3657,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,October,https://en.tutiempo.net/climate/10-2010/ws-419230.html,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1576011760-3658,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,October,https://en.tutiempo.net/climate/10-2010/ws-419230.html,9,25.5,27.6,24,-,86,0,4.8,3.5,5.4,-,o,,,
1576011760-3659,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,October,https://en.tutiempo.net/climate/10-2010/ws-419230.html,10,26.6,31.5,23.3,1003.7,79,0,5.5,0.9,3.5,-,,,,
1576011760-3660,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,October,https://en.tutiempo.net/climate/10-2010/ws-419230.html,11,,,,,,,,,,,,,,
1576011760-3661,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,October,https://en.tutiempo.net/climate/10-2010/ws-419230.html,12,,,,,,,,,,,,,,
1576011760-3662,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,October,https://en.tutiempo.net/climate/10-2010/ws-419230.html,13,,,,,,,,,,,,,,
1576011760-3663,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,October,https://en.tutiempo.net/climate/10-2010/ws-419230.html,14,29.2,34.2,25.6,1003.2,77,30.73,5,0.4,1.9,-,o,,,
1576011760-3664,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,October,https://en.tutiempo.net/climate/10-2010/ws-419230.html,15,28.9,33.5,26,1005.2,75,0.51,5,2.4,7.6,-,o,,,
1576011760-3665,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,October,https://en.tutiempo.net/climate/10-2010/ws-419230.html,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1576011760-3666,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,October,https://en.tutiempo.net/climate/10-2010/ws-419230.html,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1576011760-3667,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,October,https://en.tutiempo.net/climate/10-2010/ws-419230.html,18,29.5,33.3,26.8,1006.9,75,0,5,0.9,3.5,-,,,,
1576011760-3668,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,October,https://en.tutiempo.net/climate/10-2010/ws-419230.html,19,,,,,,,,,,,,,,
1576011760-3669,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,October,https://en.tutiempo.net/climate/10-2010/ws-419230.html,20,,,,,,,,,,,,,,
1576011760-3670,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,October,https://en.tutiempo.net/climate/10-2010/ws-419230.html,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1576011760-3671,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,October,https://en.tutiempo.net/climate/10-2010/ws-419230.html,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1576011760-3672,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,October,https://en.tutiempo.net/climate/10-2010/ws-419230.html,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1576011760-3673,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,October,https://en.tutiempo.net/climate/10-2010/ws-419230.html,24,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1576011760-3674,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,October,https://en.tutiempo.net/climate/10-2010/ws-419230.html,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1576011760-3675,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,October,https://en.tutiempo.net/climate/10-2010/ws-419230.html,26,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1576011760-3676,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,October,https://en.tutiempo.net/climate/10-2010/ws-419230.html,27,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1576011760-3677,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,October,https://en.tutiempo.net/climate/10-2010/ws-419230.html,28,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1576011760-3678,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,October,https://en.tutiempo.net/climate/10-2010/ws-419230.html,29,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1576011760-3679,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,October,https://en.tutiempo.net/climate/10-2010/ws-419230.html,30,,,,,,,,,,,,,,
1576011760-3680,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,October,https://en.tutiempo.net/climate/10-2010/ws-419230.html,31,26.8,32.6,23.6,1011.4,76,0,4.2,0,-,-,,,,
1576011760-3681,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,October,https://en.tutiempo.net/climate/10-2010/ws-419230.html,Monthly means and totals:,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1576011760-3682,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,October,https://en.tutiempo.net/climate/10-2010/ws-419230.html,,28.4,32.7,25.3,1006.4,76,77.47,5.1,1.4,4.7,,5,0,0,0
1576011749-3618,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,November,https://en.tutiempo.net/climate/11-2010/ws-419230.html,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1576011749-3619,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,November,https://en.tutiempo.net/climate/11-2010/ws-419230.html,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1576011749-3620,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,November,https://en.tutiempo.net/climate/11-2010/ws-419230.html,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1576011749-3621,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,November,https://en.tutiempo.net/climate/11-2010/ws-419230.html,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1576011749-3622,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,November,https://en.tutiempo.net/climate/11-2010/ws-419230.html,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1576011749-3623,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,November,https://en.tutiempo.net/climate/11-2010/ws-419230.html,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1576011749-3624,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,November,https://en.tutiempo.net/climate/11-2010/ws-419230.html,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1576011749-3625,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,November,https://en.tutiempo.net/climate/11-2010/ws-419230.html,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1576011749-3626,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,November,https://en.tutiempo.net/climate/11-2010/ws-419230.html,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1576011749-3627,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,November,https://en.tutiempo.net/climate/11-2010/ws-419230.html,10,25.6,31,21.5,1011.8,66,0,4.8,0.9,3.5,-,,,,
1576011749-3628,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,November,https://en.tutiempo.net/climate/11-2010/ws-419230.html,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1576011749-3629,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,November,https://en.tutiempo.net/climate/11-2010/ws-419230.html,12,24.5,29.7,21.2,1008,75,0,4.5,0.9,3.5,-,,,,
1576011749-3630,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,November,https://en.tutiempo.net/climate/11-2010/ws-419230.html,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1576011749-3631,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,November,https://en.tutiempo.net/climate/11-2010/ws-419230.html,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1576011749-3632,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,November,https://en.tutiempo.net/climate/11-2010/ws-419230.html,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1576011749-3633,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,November,https://en.tutiempo.net/climate/11-2010/ws-419230.html,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1576011749-3634,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,November,https://en.tutiempo.net/climate/11-2010/ws-419230.html,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1576011749-3635,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,November,https://en.tutiempo.net/climate/11-2010/ws-419230.html,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1576011749-3636,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,November,https://en.tutiempo.net/climate/11-2010/ws-419230.html,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1576011749-3637,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,November,https://en.tutiempo.net/climate/11-2010/ws-419230.html,20,25.2,30.1,22.8,1007.2,75,0,4,1.9,3.5,-,,,,
1576011749-3638,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,November,https://en.tutiempo.net/climate/11-2010/ws-419230.html,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1576011749-3639,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,November,https://en.tutiempo.net/climate/11-2010/ws-419230.html,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1576011749-3640,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,November,https://en.tutiempo.net/climate/11-2010/ws-419230.html,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1576011749-3641,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,November,https://en.tutiempo.net/climate/11-2010/ws-419230.html,24,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1576011749-3642,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,November,https://en.tutiempo.net/climate/11-2010/ws-419230.html,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1576011749-3643,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,November,https://en.tutiempo.net/climate/11-2010/ws-419230.html,26,,,,,,,,,,,,,,
1576011749-3644,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,November,https://en.tutiempo.net/climate/11-2010/ws-419230.html,27,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1576011749-3645,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,November,https://en.tutiempo.net/climate/11-2010/ws-419230.html,28,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1576011749-3646,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,November,https://en.tutiempo.net/climate/11-2010/ws-419230.html,29,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1576011749-3647,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,November,https://en.tutiempo.net/climate/11-2010/ws-419230.html,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1576011749-3648,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,November,https://en.tutiempo.net/climate/11-2010/ws-419230.html,Monthly means and totals:,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1576011749-3649,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,November,https://en.tutiempo.net/climate/11-2010/ws-419230.html,,24.7,30,21.2,1009.1,71.3,0,4.3,1.2,3.5,,0,0,0,0
1576011732-3588,https://en.tutiempo.net/climate/ws-419230.html,Clima 2011,https://en.tutiempo.net/climate/2011/ws-419230.html,February,https://en.tutiempo.net/climate/02-2011/ws-419230.html,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1576011732-3589,https://en.tutiempo.net/climate/ws-419230.html,Clima 2011,https://en.tutiempo.net/climate/2011/ws-419230.html,February,https://en.tutiempo.net/climate/02-2011/ws-419230.html,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1576011732-3590,https://en.tutiempo.net/climate/ws-419230.html,Clima 2011,https://en.tutiempo.net/climate/2011/ws-419230.html,February,https://en.tutiempo.net/climate/02-2011/ws-419230.html,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1576011732-3591,https://en.tutiempo.net/climate/ws-419230.html,Clima 2011,https://en.tutiempo.net/climate/2011/ws-419230.html,February,https://en.tutiempo.net/climate/02-2011/ws-419230.html,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1576011732-3592,https://en.tutiempo.net/climate/ws-419230.html,Clima 2011,https://en.tutiempo.net/climate/2011/ws-419230.html,February,https://en.tutiempo.net/climate/02-2011/ws-419230.html,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1576011732-3593,https://en.tutiempo.net/climate/ws-419230.html,Clima 2011,https://en.tutiempo.net/climate/2011/ws-419230.html,February,https://en.tutiempo.net/climate/02-2011/ws-419230.html,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1576011732-3594,https://en.tutiempo.net/climate/ws-419230.html,Clima 2011,https://en.tutiempo.net/climate/2011/ws-419230.html,February,https://en.tutiempo.net/climate/02-2011/ws-419230.html,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1576011732-3595,https://en.tutiempo.net/climate/ws-419230.html,Clima 2011,https://en.tutiempo.net/climate/2011/ws-419230.html,February,https://en.tutiempo.net/climate/02-2011/ws-419230.html,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1576011732-3596,https://en.tutiempo.net/climate/ws-419230.html,Clima 2011,https://en.tutiempo.net/climate/2011/ws-419230.html,February,https://en.tutiempo.net/climate/02-2011/ws-419230.html,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1576011732-3597,https://en.tutiempo.net/climate/ws-419230.html,Clima 2011,https://en.tutiempo.net/climate/2011/ws-419230.html,February,https://en.tutiempo.net/climate/02-2011/ws-419230.html,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1576011732-3598,https://en.tutiempo.net/climate/ws-419230.html,Clima 2011,https://en.tutiempo.net/climate/2011/ws-419230.html,February,https://en.tutiempo.net/climate/02-2011/ws-419230.html,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1576011732-3599,https://en.tutiempo.net/climate/ws-419230.html,Clima 2011,https://en.tutiempo.net/climate/2011/ws-419230.html,February,https://en.tutiempo.net/climate/02-2011/ws-419230.html,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1576011732-3600,https://en.tutiempo.net/climate/ws-419230.html,Clima 2011,https://en.tutiempo.net/climate/2011/ws-419230.html,February,https://en.tutiempo.net/climate/02-2011/ws-419230.html,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1576011732-3601,https://en.tutiempo.net/climate/ws-419230.html,Clima 2011,https://en.tutiempo.net/climate/2011/ws-419230.html,February,https://en.tutiempo.net/climate/02-2011/ws-419230.html,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1576011732-3602,https://en.tutiempo.net/climate/ws-419230.html,Clima 2011,https://en.tutiempo.net/climate/2011/ws-419230.html,February,https://en.tutiempo.net/climate/02-2011/ws-419230.html,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1576011732-3603,https://en.tutiempo.net/climate/ws-419230.html,Clima 2011,https://en.tutiempo.net/climate/2011/ws-419230.html,February,https://en.tutiempo.net/climate/02-2011/ws-419230.html,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1576011732-3604,https://en.tutiempo.net/climate/ws-419230.html,Clima 2011,https://en.tutiempo.net/climate/2011/ws-419230.html,February,https://en.tutiempo.net/climate/02-2011/ws-419230.html,17,22.3,29.3,19,1010.7,65,0,3.7,3.7,11.1,-,,,,
1576011732-3605,https://en.tutiempo.net/climate/ws-419230.html,Clima 2011,https://en.tutiempo.net/climate/2011/ws-419230.html,February,https://en.tutiempo.net/climate/02-2011/ws-419230.html,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1576011732-3606,https://en.tutiempo.net/climate/ws-419230.html,Clima 2011,https://en.tutiempo.net/climate/2011/ws-419230.html,February,https://en.tutiempo.net/climate/02-2011/ws-419230.html,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1576011732-3607,https://en.tutiempo.net/climate/ws-419230.html,Clima 2011,https://en.tutiempo.net/climate/2011/ws-419230.html,February,https://en.tutiempo.net/climate/02-2011/ws-419230.html,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1576011732-3608,https://en.tutiempo.net/climate/ws-419230.html,Clima 2011,https://en.tutiempo.net/climate/2011/ws-419230.html,February,https://en.tutiempo.net/climate/02-2011/ws-419230.html,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1576011732-3609,https://en.tutiempo.net/climate/ws-419230.html,Clima 2011,https://en.tutiempo.net/climate/2011/ws-419230.html,February,https://en.tutiempo.net/climate/02-2011/ws-419230.html,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1576011732-3610,https://en.tutiempo.net/climate/ws-419230.html,Clima 2011,https://en.tutiempo.net/climate/2011/ws-419230.html,February,https://en.tutiempo.net/climate/02-2011/ws-419230.html,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1576011732-3611,https://en.tutiempo.net/climate/ws-419230.html,Clima 2011,https://en.tutiempo.net/climate/2011/ws-419230.html,February,https://en.tutiempo.net/climate/02-2011/ws-419230.html,24,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1576011732-3612,https://en.tutiempo.net/climate/ws-419230.html,Clima 2011,https://en.tutiempo.net/climate/2011/ws-419230.html,February,https://en.tutiempo.net/climate/02-2011/ws-419230.html,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1576011732-3613,https://en.tutiempo.net/climate/ws-419230.html,Clima 2011,https://en.tutiempo.net/climate/2011/ws-419230.html,February,https://en.tutiempo.net/climate/02-2011/ws-419230.html,26,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1576011732-3614,https://en.tutiempo.net/climate/ws-419230.html,Clima 2011,https://en.tutiempo.net/climate/2011/ws-419230.html,February,https://en.tutiempo.net/climate/02-2011/ws-419230.html,27,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1576011732-3615,https://en.tutiempo.net/climate/ws-419230.html,Clima 2011,https://en.tutiempo.net/climate/2011/ws-419230.html,February,https://en.tutiempo.net/climate/02-2011/ws-419230.html,28,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1576011732-3616,https://en.tutiempo.net/climate/ws-419230.html,Clima 2011,https://en.tutiempo.net/climate/2011/ws-419230.html,February,https://en.tutiempo.net/climate/02-2011/ws-419230.html,Monthly means and totals:,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1576011732-3617,https://en.tutiempo.net/climate/ws-419230.html,Clima 2011,https://en.tutiempo.net/climate/2011/ws-419230.html,February,https://en.tutiempo.net/climate/02-2011/ws-419230.html,,22.3,29.3,19,1010.7,65,0,3.7,3.7,11.1,,0,0,0,0
1576011721-3555,https://en.tutiempo.net/climate/ws-419230.html,Clima 2011,https://en.tutiempo.net/climate/2011/ws-419230.html,March,https://en.tutiempo.net/climate/03-2011/ws-419230.html,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1576011721-3556,https://en.tutiempo.net/climate/ws-419230.html,Clima 2011,https://en.tutiempo.net/climate/2011/ws-419230.html,March,https://en.tutiempo.net/climate/03-2011/ws-419230.html,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1576011721-3557,https://en.tutiempo.net/climate/ws-419230.html,Clima 2011,https://en.tutiempo.net/climate/2011/ws-419230.html,March,https://en.tutiempo.net/climate/03-2011/ws-419230.html,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1576011721-3558,https://en.tutiempo.net/climate/ws-419230.html,Clima 2011,https://en.tutiempo.net/climate/2011/ws-419230.html,March,https://en.tutiempo.net/climate/03-2011/ws-419230.html,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1576011721-3559,https://en.tutiempo.net/climate/ws-419230.html,Clima 2011,https://en.tutiempo.net/climate/2011/ws-419230.html,March,https://en.tutiempo.net/climate/03-2011/ws-419230.html,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1576011721-3560,https://en.tutiempo.net/climate/ws-419230.html,Clima 2011,https://en.tutiempo.net/climate/2011/ws-419230.html,March,https://en.tutiempo.net/climate/03-2011/ws-419230.html,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1576011721-3561,https://en.tutiempo.net/climate/ws-419230.html,Clima 2011,https://en.tutiempo.net/climate/2011/ws-419230.html,March,https://en.tutiempo.net/climate/03-2011/ws-419230.html,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1576011721-3562,https://en.tutiempo.net/climate/ws-419230.html,Clima 2011,https://en.tutiempo.net/climate/2011/ws-419230.html,March,https://en.tutiempo.net/climate/03-2011/ws-419230.html,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1576011721-3563,https://en.tutiempo.net/climate/ws-419230.html,Clima 2011,https://en.tutiempo.net/climate/2011/ws-419230.html,March,https://en.tutiempo.net/climate/03-2011/ws-419230.html,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1576011721-3564,https://en.tutiempo.net/climate/ws-419230.html,Clima 2011,https://en.tutiempo.net/climate/2011/ws-419230.html,March,https://en.tutiempo.net/climate/03-2011/ws-419230.html,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1576011721-3565,https://en.tutiempo.net/climate/ws-419230.html,Clima 2011,https://en.tutiempo.net/climate/2011/ws-419230.html,March,https://en.tutiempo.net/climate/03-2011/ws-419230.html,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1576011721-3566,https://en.tutiempo.net/climate/ws-419230.html,Clima 2011,https://en.tutiempo.net/climate/2011/ws-419230.html,March,https://en.tutiempo.net/climate/03-2011/ws-419230.html,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1576011721-3567,https://en.tutiempo.net/climate/ws-419230.html,Clima 2011,https://en.tutiempo.net/climate/2011/ws-419230.html,March,https://en.tutiempo.net/climate/03-2011/ws-419230.html,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-
